,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT3G17840,0.85927971832662,5.24469152941333,4.5485233034632,0.000180686285337287,0.00428926452129505,0.63522050841714
AT1G15660,0.608605568924768,4.75440748118351,4.54749234781379,0.000181128114771095,0.00429402119934254,0.664938543410104
AT5G49800,-0.755240379383377,3.2104250626598,-4.54710577947839,0.000181294063919111,0.00429402119934254,0.837950365240223
AT5G51230,0.406641587092798,5.1360320532853,4.54426892821705,0.000182516582992896,0.0043181252182831,0.619089933380214
AT3G58980,1.4197457882556,1.83908376763369,4.54352868202867,0.000182836949555247,0.00432085526527421,0.884558646746328
AT1G79990,0.493412882405959,7.31227986443689,4.54138888438219,0.000183766206444681,0.00433795255526749,0.54123672449846
AT1G73660,-0.631895717422511,5.74790849667689,-4.53893561169294,0.000184837449339401,0.00435835954370757,0.570932356659845
AT4G38400,0.948789534233172,3.2103433574831,4.53740475790409,0.000185509093076878,0.00436930914196714,0.808994080502473
AT5G48310,1.01638911756946,4.38591190658082,4.53174776468573,0.0001880124153977,0.00440589780998148,0.655328069835281
AT1G08510,-0.390380374968525,7.64171455129908,-4.53172320598253,0.000188023356873215,0.00440589780998148,0.519041507863752
AT5G19690,0.572581076450354,7.60923955394465,4.5313709799012,0.000188180352347657,0.00440589780998148,0.51848076639391
AT1G65270,0.369432485554365,6.16559620624113,4.53102511625684,0.000188334640328641,0.00440589780998148,0.530752565264625
AT3G01710,1.30819518047468,2.66571070898424,4.53086438781438,0.000188406383783643,0.00440589780998148,0.839045969950018
AT5G13520,0.718362099015745,5.608114698201,4.53059273743407,0.00018852770138493,0.00440589780998148,0.555495697312701
AT4G17500,-1.04848933369981,4.44329519922698,-4.53057348099209,0.00018853630419241,0.00440589780998148,0.674793475510342
AT3G54560,0.937689615118454,5.43970682945924,4.53012982493125,0.000188734616812774,0.00440589780998148,0.571675888897278
AT4G03100,1.04124746119746,4.11497962721831,4.52830233080749,0.000189553716081443,0.00442012426437701,0.695310906440461
AT4G29020,1.72658530557895,4.98497451672559,4.52697508702911,0.000190150840743332,0.00442914886504911,0.630557042914324
AT4G37750,1.58406307899579,3.50794977732685,4.5250220079974,0.000191032972187681,0.00443657278773892,0.750628294267699
AT1G48698,-0.872942267586108,1.54847247863918,-4.52499493746867,0.000191045227810903,0.00443657278773892,0.836387369120843
AT2G45220,-1.54499824132592,8.0485022708971,-4.52487187209432,0.000191100953096155,0.00443657278773892,0.506592088941946
